9.5478,0.60206,0.21715,0.21715
9.7354,0.69897,0.19422,0.19422
9.9231,0.8451,0.16415,0.16415
10.111,1.0792,0.12537,0.12537
10.298,1.0792,0.12537,0.12537
10.486,1.1761,0.11213,0.11213
10.674,1.2304,0.10533,0.15643
10.861,1.301,0.097111,0.11883
11.049,1.415,0.085172,0.085172
11.236,1.4624,0.095622,0.095622
11.424,1.5563,0.084446,0.072382
11.612,1.5798,0.070452,0.070452
11.799,1.6232,0.067013,0.077353
11.987,1.6902,0.070905,0.062042
12.175,1.7243,0.059655,0.067849
12.362,1.8195,0.066618,0.060038
12.55,1.8692,0.050486,0.068092
12.738,1.9445,0.061101,0.061101
12.925,2.0086,0.051517,0.047259
13.113,2.0645,0.040323,0.044067
13.3,2.1206,0.044381,0.041091
13.488,2.1703,0.044502,0.038633
13.676,2.2095,0.042164,0.039483
13.863,2.2601,0.034578,0.039351
14.051,2.3263,0.038022,0.035973
14.239,2.382,0.033382,0.031579
14.426,2.4232,0.028317,0.033234
14.614,2.4669,0.026854,0.032783
14.801,2.5159,0.029276,0.026628
14.989,2.5514,0.029117,0.027897
15.177,2.5999,0.028316,0.028316
15.364,2.6484,0.022539,0.026443
15.552,2.6937,0.026573,0.026573
15.74,2.73,0.022785,0.021976
15.927,2.7745,0.025833,0.022184
16.115,2.8176,0.024215,0.023554
16.302,2.8609,0.019109,0.019109
16.49,2.8982,0.018187,0.020383
16.678,2.933,0.016862,0.019903
16.865,2.9643,0.016668,0.019969
17.053,2.9961,0.015987,0.018178
17.241,3.0338,0.016825,0.01562
17.428,3.058,0.015126,0.015126
17.616,3.0831,0.017142,0.013914
17.803,3.1075,0.014507,0.013829
17.991,3.1303,0.015359,0.014715
18.179,3.1517,0.013064,0.013983
18.366,3.1717,0.013317,0.014194
18.554,3.1901,0.013558,0.013278
18.742,3.2025,0.011423,0.011695
18.929,3.2172,0.013065,0.012012
19.117,3.2322,0.012801,0.011784
19.305,3.2445,0.012095,0.012095
19.492,3.2567,0.011903,0.010941
19.68,3.2665,0.011751,0.012457
19.867,3.2774,0.011126,0.010896
20.055,3.2842,0.01103,0.012835
20.243,3.2967,0.012611,0.013708
20.43,3.3151,0.013759,0.012708
20.618,3.3284,0.012265,0.012876
20.806,3.3353,0.01054,0.011142
20.993,3.3462,0.013134,0.012742
21.181,3.3614,0.01643,0.017564
21.368,3.3852,0.01883,0.016326
21.556,3.4009,0.013315,0.012452
21.744,3.4069,0.010809,0.012851
21.931,3.4115,0.0092254,0.0095622
22.119,3.413,0.0095438,0.0088726
22.307,3.4133,0.0085336,0.0087013
22.494,3.4135,0.0086996,0.0086996
22.682,3.4136,0.0086979,0.0086979
