9.3602,0
9.5478,0.60206
9.7354,0.69897
9.9231,0.8451
10.111,1.0792
10.298,1.0792
10.486,1.1761
10.674,1.2304
10.861,1.301
11.049,1.415
11.236,1.4624
11.424,1.5563
11.612,1.5798
11.799,1.6232
11.987,1.6902
12.175,1.7243
12.362,1.8195
12.55,1.8692
12.738,1.9445
12.925,2.0086
13.113,2.0645
13.3,2.1206
13.488,2.1703
13.676,2.2095
13.863,2.2601
14.051,2.3263
14.239,2.382
14.426,2.4232
14.614,2.4669
14.801,2.5159
14.989,2.5514
15.177,2.5999
15.364,2.6484
15.552,2.6937
15.74,2.73
15.927,2.7745
16.115,2.8176
16.302,2.8609
16.49,2.8982
16.678,2.933
16.865,2.9643
17.053,2.9961
17.241,3.0338
17.428,3.058
17.616,3.0831
17.803,3.1075
17.991,3.1303
18.179,3.1517
18.366,3.1717
18.554,3.1901
18.742,3.2025
18.929,3.2172
19.117,3.2322
19.305,3.2445
19.492,3.2567
19.68,3.2665
19.867,3.2774
20.055,3.2842
20.243,3.2967
20.43,3.3151
20.618,3.3284
20.806,3.3353
20.993,3.3462
21.181,3.3614
21.368,3.3852
21.556,3.4009
21.744,3.4069
21.931,3.4115
22.119,3.413
22.307,3.4133
22.494,3.4135
22.682,3.4138
